customer.id;outfit.id;rentalPeriod.start;rentalPeriod.end
03945;outfit.923f3fd476b5450b9582d1f525604546;2018-05-25;2018-05-28
04088;outfit.8c8e922e228ba03f;2019-08-29;2019-09-02
04360;outfit.96f152543e7668ae;2018-08-10;2018-08-13
04697;outfit.ddba05a5ced34fa1ab3a0722c05bb11a;2018-06-14;2018-06-19
03890;outfit.5ef01d4dc15243fb854ca797716fd663;2019-08-24;2019-08-27
04008;outfit.68667a7b797740f69dce409eeeadac24;2019-12-28;2020-01-04
05242;outfit.63bcf26d934447e1aa4d53214cef7d4f;2018-02-02;2018-02-10
00876;outfit.938bce9de70bbb91;2019-01-11;2019-03-11
02971;outfit.d5a4b9683cd643f48dab6d109b0aa729;2019-05-14;2019-05-19
05312;outfit.bb0b2a2f58aa9f0b;2019-06-07;2019-06-09
02211;outfit.8d6a34817ba54992a71abef91d5486e8;2019-04-03;2019-04-05
02685;outfit.bab0a104dce39d2b;2019-02-16;2019-02-19
00080;outfit.976628d5f0b34376a2c32d4e8c46e24b;2020-01-27;2020-01-31
07008;outfit.c6986820610c4ebe9502745daaf2a864;2019-04-24;2019-04-29
01551;outfit.8e974a4d61380fb2;2017-11-24;2017-11-30
06269;outfit.849ace7e1811150d;2019-09-13;2019-09-16
02443;outfit.c9b14d84b59b42c2b6cb3b560e1c1ef8;2018-08-10;2018-08-13
04146;outfit.7406df88036f4f16bfc1a4c03002d315;2019-03-18;2019-03-21
00632;outfit.aad989fc0422b4eb;2019-08-30;2019-09-02
02915;outfit.b43f37d3542f42628d7fc43403f8dd49;2018-08-09;2018-08-13
02272;outfit.163433b4f8ed460bbd12eb913c4e9992;2019-12-04;2019-12-09
04885;outfit.db13e9deae904483bed85c8358f81a8e;2018-08-03;2018-08-06
00482;outfit.7e53d60cec3c4d8bafc4b05ee815c0f5;2018-08-24;2018-08-27
02237;outfit.6d9f73680ceb4d59974c85e0c104af00;2018-05-08;2018-05-28
05021;outfit.86a8f7b22a1f4b4e9d6f42d22ea0127b;2018-02-24;2018-03-13
00334;outfit.b68b720dbd521460;2020-01-23;2020-01-25
04543;outfit.7ee7542297f944ecb49f4fe5b44728f7;2019-11-29;2019-12-02
02730;outfit.8dd954d73c8d44ce;2018-02-10;2018-02-19
01334;outfit.ad848f726cd93e66;2018-03-02;2018-03-05
04787;outfit.60100019807c48a892195be2a047c618;2019-06-28;2019-07-12
02033;outfit.8e763e5d22200bfa;2018-01-19;2018-01-22
02514;outfit.8e2b0bea80a6f0c2;2019-08-16;2019-08-19
02794;outfit.a657836d8fac6ede;2018-06-25;2018-07-02
00585;outfit.1309e941cace40c39f24d8de277140b1;2019-10-21;2019-10-23
02259;outfit.1515a54502e34532a658bb12f419c557;2018-07-27;2018-07-30
01540;outfit.bb35c791b2bfa191;2019-05-31;2019-06-03
01794;outfit.b6f4e6d64e3144d2b528b6bf75e5ddcd;2019-08-29;2019-09-02
02631;outfit.8fbf386b8fef8664;2019-08-23;2019-08-26
01428;outfit.5ae76cc39b2b4049bafb00a9203254ae;2018-10-25;2018-10-29
05242;outfit.98d6cf4fef49ec24;2017-12-04;2017-12-06
05482;outfit.87752ffbbe69477baaf2a2382738acb8;2019-11-13;2019-11-18
01954;outfit.ad6f853b5c31b6f5;2018-06-19;2018-06-25
03533;outfit.1fc4f4eb86854b52b71096e05d0efa6a;2019-06-20;2019-07-21
04072;outfit.d74a648486b04780b38eb60860b4b974;2018-09-04;2018-09-10
01520;outfit.2055788ae1cb401bb3e88f887d5bd028;2019-08-02;2019-08-05
